,Rd,Date,Race Name,Track,Location,Season,Rnd,City,,Race name,Rd.,Original date,Original<br>date,Time (ET)
10,,July 12,,{{Color box|white|O|border=silver}} [[Iowa Speedway]],"[[Newton, Iowa]]",2025,,,,[[IndyCar Series at Iowa Speedway|Synk 275 Powered by Sukup]],11,,,
11,,July 13,,{{Color box|white|O|border=silver}} [[Iowa Speedway]],"[[Newton, Iowa]]",2025,,,,[[IndyCar Series at Iowa Speedway|Farm to Finish 275 Powered by Sukup]],12,,,
12,,July 20,,{{color box|peachpuff|S|border=silver}} [[Exhibition Place]],"[[Toronto|Toronto, Ontario]]",2025,,,,[[Grand Prix of Toronto|Ontario Honda Dealers Indy Toronto]],13,,,
13,,July 27,,{{Color box|lightblue|R|border=silver}} [[WeatherTech Raceway Laguna Seca]],"[[Monterey, California]]",2025,,,,[[IndyCar Monterey Grand Prix|Java House Grand Prix of Monterey]],14,,,
14,,August 10,,{{Color box|lightblue|R|border=silver}} [[Portland International Raceway]],"[[Portland, Oregon]]",2025,,,,[[Grand Prix of Portland|BitNile.com Grand Prix of Portland]],15,,,
15,,August 24,,{{Color box|white|O|border=silver}} [[Milwaukee Mile]],"[[West Allis, Wisconsin]]",2025,,,,[[IndyCar Series at the Milwaukee Mile|Snap-on Milwaukee Mile 250]],16,,,
16,,August 31,,{{Color box|white|O|border=silver}} [[Nashville Superspeedway]],"[[Lebanon, Tennessee]]",2025,,,,[[IndyCar Series at Nashville Superspeedway|Borchetta Bourbon Music City Grand Prix]],17,,,
0,,March 1,,{{color box|peachpuff|S|border=silver}} [[St. Petersburg Street Circuit|Streets of St. Petersburg]],"[[St. Petersburg, Florida]]",2026,,,,[[2026 Firestone Grand Prix of St. Petersburg|Firestone Grand Prix of St. Petersburg]],1,,,12:00 p.m.
1,,March 7,,{{color box|white|O|border=silver}} [[Phoenix Raceway]],"[[Avondale, Arizona]]",2026,,,,[[2026 Good Ranchers 250|Good Ranchers 250]],2,,,3:00 p.m.
2,,March 15,,{{color box|peachpuff|S|border=silver}} Streets of Arlington,"[[Arlington, Texas]]",2026,,,,[[2026 Java House Grand Prix of Arlington|Java House Grand Prix of Arlington]],3,,,12:30 p.m.
3,,March 29,,{{Color box|lightblue|R|border=silver}} [[Barber Motorsports Park]],"[[Birmingham, Alabama]]",2026,,,,[[2026 Children's of Alabama Indy Grand Prix|Children's of Alabama Indy Grand Prix]],4,,,1:00 p.m.
4,,April 19,,{{color box|peachpuff|S|border=silver}} [[Long Beach Street Circuit|Streets of Long Beach]],"[[Long Beach, California]]",2026,,,,[[2026 Acura Grand Prix of Long Beach|Acura Grand Prix of Long Beach]],5,,,5:30 p.m.
5,,May 9,,{{Color box|lightblue|R|border=silver}} [[Indianapolis Motor Speedway|Indianapolis Motor Speedway Road Course]],"[[Speedway, Indiana]]",2026,,,,[[2026 Sonsio Grand Prix|Sonsio Grand Prix]],6,,,4:30 p.m.
6,,May 24,,{{Color box|white|O|border=silver}} [[Indianapolis Motor Speedway]],"[[Speedway, Indiana]]",2026,,,,[[2026 Indianapolis 500|110th Running of the Indianapolis 500]],7,,,10:00 a.m.
7,,May 31,,{{color box|peachpuff|S|border=silver}} [[Detroit Street Circuit|Streets of Detroit]],"[[Detroit|Detroit, Michigan]]",2026,,,,[[Detroit Grand Prix (IndyCar)|Chevrolet Detroit Grand Prix]],8,,,12:30 p.m.
8,,June 7,,{{color box|white|O|border=silver}} [[World Wide Technology Raceway]],"[[Madison, Illinois]]",2026,,,,[[Bommarito Automotive Group 500]],9,,,9:00 p.m.
9,,June 21,,{{color box|lightblue|R|border=silver}} [[Road America]],"[[Elkhart Lake, Wisconsin]]",2026,,,,[[Grand Prix of Road America|XPEL Grand Prix at Road America]],10,,,2:00 p.m.
10,,July 5,,{{color box|lightblue|R|border=silver}} [[Mid-Ohio Sports Car Course]],"[[Lexington, Ohio]]",2026,,,,[[Indy 200 at Mid-Ohio|Honda Indy 200 at Mid-Ohio]],11,,,12:30 p.m.
11,,July 19,,{{color box|white|O|border=silver}} [[Nashville Superspeedway]],"[[Lebanon, Tennessee]]",2026,,,,[[IndyCar Series at Nashville Superspeedway|Borchetta Bourbon Music City Grand Prix]],12,,,TBD
12,,August 9,,{{color box|lightblue|R|border=silver}} [[Portland International Raceway]],"[[Portland, Oregon]]",2026,,,,[[Grand Prix of Portland|BitNile.com Grand Prix of Portland]],13,,,4:00 p.m.
13,,August 16,,{{color box|peachpuff|S|border=silver}} Streets of Markham,"[[Markham, Ontario]]",2026,,,,[[IndyCar Series at Markham Centre|Ontario Honda Dealers Indy at Markham]],14,,,12:00 p.m.
14,,August 23,,{{colorbox|peachpuff|S|border=silver}} Streets of Washington,"[[Washington, D.C.]]",2026,,,,"[[Freedom 250 Grand Prix|Freedom 250 Grand Prix of Washington, D.C.]]",15,,,TBD
15,,August 29,,{{color box|white|O|border=silver}} [[Milwaukee Mile]],"[[West Allis, Wisconsin]]",2026,,,,[[IndyCar Series at the Milwaukee Mile|Snap-on Makers and Fixers 250]],16,,,2:30 p.m.
16,,August 30,,{{color box|white|O|border=silver}} [[Milwaukee Mile]],"[[West Allis, Wisconsin]]",2026,,,,[[IndyCar Series at the Milwaukee Mile|Snap-on Milwaukee Mile 250]],17,,,1:00 p.m.
17,,September 6,,{{color box|lightblue|R|border=silver}} [[Laguna Seca|WeatherTech Raceway Laguna Seca]],"[[Monterey, California]]",2026,,,,[[IndyCar Monterey Grand Prix|IndyCar Grand Prix of Monterey]],18,,,2:30 p.m.
0,1,August 18 1996,[[New Hampshire Indy 225|True Value 200]],[[New Hampshire International Speedway]],"[[Loudon, New Hampshire]]",1996-97,,,,,,,,
1,2,September 15 1996,[[IZOD IndyCar World Championships|1996 Las Vegas 500K]],[[Las Vegas Motor Speedway]],"[[Las Vegas, Nevada]]",1996-97,,,,,,,,
2,3,January 25 1997,[[Delphi Indy 200|Indy 200 at Walt Disney World]],[[Walt Disney World Speedway]],"[[Bay Lake, Florida]]",1996-97,,,,,,,,
3,4,March 23 1997,[[XM Satellite Radio Indy 200|Phoenix 200]],[[Phoenix International Raceway]],"[[Phoenix, Arizona]]",1996-97,,,,,,,,
4,5,May 26–27 1997,[[1997 Indianapolis 500|81st Indianapolis 500]],[[Indianapolis Motor Speedway]],"[[Speedway, Indiana]]",1996-97,,,,,,,,
5,6,June 7 1997,[[Firestone 600|True Value 500]],[[Texas Motor Speedway]],"[[Fort Worth, Texas]]",1996-97,,,,,,,,
6,7,June 29 1997,[[Pikes Peak International Raceway|Samsonite 200]],[[Pikes Peak International Raceway]],"[[Fountain, Colorado]]",1996-97,,,,,,,,
7,8,July 27 1997,[[VisionAire 500K|VisionAire 500]],[[Charlotte Motor Speedway]],"[[Concord, North Carolina]]",1996-97,,,,,,,,
8,9,August 17 1997,[[New Hampshire Indy 225|Pennzoil 200]],[[New Hampshire International Speedway]],"[[Loudon, New Hampshire]]",1996-97,,,,,,,,
9,10,October 11 1997,[[IZOD IndyCar World Championships|1997 Las Vegas 500K]],[[Las Vegas Motor Speedway]],"[[Las Vegas, Nevada]]",1996-97,,,,,,,,
10,"'''Sources:'''<ref>{{cite web|title=NTT IndyCar Series Calendar 1997|url=https://motorsportstats.com/series/ntt-indycar-series/calendar/1997|publisher=Motorsport Stats|access-date=November 17, 2023}}</ref><ref name=1997IRLCalendar>{{cite web|title=1996-97 Schedule & Ticket Information|url=http://brickyard.com/irl/97sched.htm|publisher=[[Indy Racing League]]|access-date=November 17, 2023|archive-url=https://web.archive.org/web/19970216150124/http://brickyard.com/irl/97sched.htm|archive-date=February 16, 1997|url-status=dead}}</ref>","'''Sources:'''<ref>{{cite web|title=NTT IndyCar Series Calendar 1997|url=https://motorsportstats.com/series/ntt-indycar-series/calendar/1997|publisher=Motorsport Stats|access-date=November 17, 2023}}</ref><ref name=1997IRLCalendar>{{cite web|title=1996-97 Schedule & Ticket Information|url=http://brickyard.com/irl/97sched.htm|publisher=[[Indy Racing League]]|access-date=November 17, 2023|archive-url=https://web.archive.org/web/19970216150124/http://brickyard.com/irl/97sched.htm|archive-date=February 16, 1997|url-status=dead}}</ref>","'''Sources:'''<ref>{{cite web|title=NTT IndyCar Series Calendar 1997|url=https://motorsportstats.com/series/ntt-indycar-series/calendar/1997|publisher=Motorsport Stats|access-date=November 17, 2023}}</ref><ref name=1997IRLCalendar>{{cite web|title=1996-97 Schedule & Ticket Information|url=http://brickyard.com/irl/97sched.htm|publisher=[[Indy Racing League]]|access-date=November 17, 2023|archive-url=https://web.archive.org/web/19970216150124/http://brickyard.com/irl/97sched.htm|archive-date=February 16, 1997|url-status=dead}}</ref>","'''Sources:'''<ref>{{cite web|title=NTT IndyCar Series Calendar 1997|url=https://motorsportstats.com/series/ntt-indycar-series/calendar/1997|publisher=Motorsport Stats|access-date=November 17, 2023}}</ref><ref name=1997IRLCalendar>{{cite web|title=1996-97 Schedule & Ticket Information|url=http://brickyard.com/irl/97sched.htm|publisher=[[Indy Racing League]]|access-date=November 17, 2023|archive-url=https://web.archive.org/web/19970216150124/http://brickyard.com/irl/97sched.htm|archive-date=February 16, 1997|url-status=dead}}</ref>","'''Sources:'''<ref>{{cite web|title=NTT IndyCar Series Calendar 1997|url=https://motorsportstats.com/series/ntt-indycar-series/calendar/1997|publisher=Motorsport Stats|access-date=November 17, 2023}}</ref><ref name=1997IRLCalendar>{{cite web|title=1996-97 Schedule & Ticket Information|url=http://brickyard.com/irl/97sched.htm|publisher=[[Indy Racing League]]|access-date=November 17, 2023|archive-url=https://web.archive.org/web/19970216150124/http://brickyard.com/irl/97sched.htm|archive-date=February 16, 1997|url-status=dead}}</ref>",1996-97,,,,,,,,
